"(PDH-CSV 4.0) (","\\DESKTOP-INSGQFC\Memory\Cache Bytes","\\DESKTOP-INSGQFC\Memory\Committed Bytes","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Access Methods\Page Splits/sec","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Buffer Manager\Buffer cache hit ratio","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:General Statistics\User Connections","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Free Memory (KB)","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Maximum Workspace Memory (KB)","\\DESKTOP-INSGQFC\MSSQL$SQLEXPRESS:Memory Manager\Total Server Memory (KB)","\\DESKTOP-INSGQFC\Processor(_Total)\% Processor Time"
"11/10/2022 17:10:58.204","302514176","8312520704"," ","100","1","34112","1764600","237464"," "
"11/10/2022 17:11:13.219","299073536","8285396992","0","100","1","34192","25800","237464","6.2536209646151474928"
"11/10/2022 17:11:28.214","299700224","8294236160","0","100","1","34176","1745880","237464","6.4367449948852462072"
"11/10/2022 17:11:43.227","297680896","8294592512","0","100","1","34144","1745880","237464","5.867408306076226765"
"11/10/2022 17:11:58.217","297955328","8293019648","0","100","1","34072","25560","237464","5.2496166972788689264"
"11/10/2022 17:12:13.227","298786816","8292376576","0","100","1","34064","1753320","237464","6.6506099650968097947"
"11/10/2022 17:12:28.216","298078208","8278622208","0","100","1","34144","1753800","237464","9.9041475951112349918"
"11/10/2022 17:12:43.228","298590208","8296439808","0","100","1","34096","1753800","237464","4.5685560282669008814"
"11/10/2022 17:12:58.224","298889216","8294543360","0","100","1","34800","1753800","237464","4.5182716285759871866"
"11/10/2022 17:13:13.212","298496000","8310484992","0","100","1","34856","1748400","237464","6.33223373109430554"
"11/10/2022 17:13:28.216","298782720","8279146496","0","100","1","34880","26400","237464","7.2918808907192040891"
"11/10/2022 17:13:43.219","299048960","8288727040","0","100","1","34880","1740360","237464","5.6829040406501167837"
"11/10/2022 17:13:58.204","298635264","8288063488","0","100","1","34336","1740360","237464","5.8175191766438372198"
"11/10/2022 17:14:13.204","298151936","8287191040","0","100","1","34360","25920","237464","4.7685882681997586729"
"11/10/2022 17:14:28.212","297385984","8287789056","0","100","1","33992","1752240","237464","6.1248494024455091278"
"11/10/2022 17:14:43.222","297713664","8276979712","0","100","1","34416","1752000","237464","6.1726030959144750909"
"11/10/2022 17:14:58.213","298024960","8292225024","0","100","1","34152","1752000","237464","7.3772871425416663982"
"11/10/2022 17:15:13.219","300519424","8359538688","0","100","1","34104","1703280","237464","10.597470095268358037"
"11/10/2022 17:15:28.214","299671552","8369930240","0","100","1","34224","1846200","237464","7.8592796221370608833"
"11/10/2022 17:15:43.214","300523520","8342089728","0","100","1","34304","1770240","237464","6.8498044704420779638"
"11/10/2022 17:15:58.220","299823104","8356626432","0","100","1","34200","1770240","237464","5.3383720098093778716"
"11/10/2022 17:16:13.218","299114496","8347328512","0","100","1","34168","1770240","237464","7.6965732614106556753"
"11/10/2022 17:16:28.211","299503616","8356306944","0","100","1","34224","1758720","237464","7.3998436041409432207"
"11/10/2022 17:16:43.213","300081152","8323076096","0","100","1","34208","1758720","237464","4.7677630674749167383"
"11/10/2022 17:16:58.227","299556864","8326471680","0","100","1","34264","1751640","237464","6.1682118371638168242"
"11/10/2022 17:17:13.219","299618304","8303665152","0","100","1","34224","1770480","237464","4.5303139249392661014"
"11/10/2022 17:17:28.215","299917312","8306982912","0","100","1","34112","1770480","237464","4.4577531013434317231"
"11/10/2022 17:17:43.218","299192320","8310050816","0","100","1","34200","1771680","237464","6.0698545470201148433"
"11/10/2022 17:17:58.205","299847680","8295071744","0","100","1","35064","1773360","237464","6.3541126250231227957"
"11/10/2022 17:18:13.218","300130304","8300576768","0","100","1","34936","1773360","237464","6.3163100574187840408"
"11/10/2022 17:18:28.204","299642880","8308961280","0","100","1","34792","1773360","237464","7.1663045589353764342"
"11/10/2022 17:18:43.209","299970560","8317657088","0","100","1","34832","1764120","237464","6.4355107346095952181"
"11/10/2022 17:18:58.218","300515328","8290394112","0","100","1","34520","26040","237464","5.9971134971905311062"
"11/10/2022 17:19:13.214","299773952","8295563264","0","100","1","34504","1766640","237464","6.4192448115013567289"
"11/10/2022 17:19:28.216","300457984","8306614272","0","100","1","34056","1766640","237464","6.4712128708462657301"
"11/10/2022 17:19:43.219","301543424","8281591808","0","100","1","34472","26040","237464","4.9528434377497987384"
"11/10/2022 17:19:58.204","301232128","8289374208","0","100","1","34080","1733160","237464","7.6956194129766952727"
"11/10/2022 17:20:13.219","300273664","8263892992","0","100","1","34280","1741680","237464","8.9820561718603855184"
"11/10/2022 17:20:28.213","300605440","8276242432","0","100","1","34184","1741680","237464","7.8553019704927118383"
"11/10/2022 17:20:43.214","301178880","8276004864","0","100","1","34152","1741680","237464","4.7584340537234588453"
"11/10/2022 17:20:58.216","300728320","8294084608","0","100","1","34144","1746240","237464","5.7316361775433088965"
"11/10/2022 17:21:13.229","300716032","8264032256","0","100","1","34256","25800","237464","5.733006484195324326"
"11/10/2022 17:21:28.224","300687360","8274706432","0","100","1","34216","1750560","237464","3.3917851812743760043"
"11/10/2022 17:21:43.208","300867584","8279638016","0","100","1","34168","1750560","237464","2.4491411636986759603"
"11/10/2022 17:21:58.221","300863488","8301473792","0","100","1","34120","25680","237464","3.3222899722358700814"
"11/10/2022 17:22:13.218","300867584","8291909632","0","100","1","34112","1746120","237464","3.4163359436408802239"
"11/10/2022 17:22:28.206","301113344","8267505664","0","100","1","34216","1744320","237464","5.0323812767912539101"
"11/10/2022 17:22:43.215","300961792","8268750848","0","100","1","34184","1744320","237464","2.3364758281129827111"
"11/10/2022 17:22:58.221","300474368","8291688448","0","100","1","34808","1800360","237464","2.8909759825478831274"
"11/10/2022 17:23:13.213","298852352","8283062272","0","100","1","34880","1788360","237464","5.4569617117131823392"
"11/10/2022 17:23:28.223","298098688","8259690496","0","100","1","34872","26400","237464","3.774256463761715974"
"11/10/2022 17:23:43.214","298414080","8268279808","0","100","1","34832","1788720","237464","2.282370951391132774"
"11/10/2022 17:23:58.216","297402368","8284246016","0","100","1","34336","1788720","237464","2.1516849275306171307"
"11/10/2022 17:24:13.227","297955328","8283111424","0","100","1","34376","25920","237464","2.9379150326872660592"
"11/10/2022 17:24:28.215","298299392","8285622272","0","100","1","33944","1794240","237464","2.8517472331035076394"
"11/10/2022 17:24:43.216","297758720","8267448320","0","100","1","34440","1801320","237464","4.5339306872263058779"
"11/10/2022 17:24:58.219","298151936","8283762688","0","100","1","34224","1801320","237464","2.2862344540956036631"
"11/10/2022 17:25:13.213","297066496","8278347776","0","100","1","34200","1801320","237464","2.9410725838892148865"
"11/10/2022 17:25:28.218","296599552","8272027648","0","100","1","34328","1791480","237464","3.3929385360075614564"
"11/10/2022 17:25:43.203","296914944","8253521920","0","100","1","34408","1796640","237464","4.2768167309209070837"
"11/10/2022 17:25:58.210","296341504","8269168640","0","100","1","34280","1796640","237464","3.1061402094826884301"
"11/10/2022 17:26:13.211","278839296","8355426304","0","100","1","34256","1442760","237464","9.9406670020585110592"
"11/10/2022 17:26:28.224","276242432","8311070720","0","100","1","34304","1728720","237464","7.9712755731302316065"
"11/10/2022 17:26:43.222","276766720","8286208000","0","100","1","34384","25920","237464","5.4025514660460904892"
"11/10/2022 17:26:58.214","277090304","8290320384","0","100","1","34352","1752240","237464","3.9594620391163903861"
"11/10/2022 17:27:13.214","275587072","8286494720","0","100","1","34312","1786440","237464","3.8298935810233580845"
"11/10/2022 17:27:28.223","276176896","8285315072","0","100","1","34224","1786440","237464","3.156069448351117579"
"11/10/2022 17:27:43.215","276234240","8281100288","0","100","1","34312","1776120","237464","3.3731376162743686997"
"11/10/2022 17:27:58.216","275484672","8268886016","0","100","1","34336","1784040","237464","4.1732422987801225389"
"11/10/2022 17:28:13.230","275525632","8271810560","0","100","1","34288","1784040","237464","2.8164338658725474041"
"11/10/2022 17:28:28.219","275558400","8286674944","0","100","1","34208","1784040","237464","2.4784083714337268312"
"11/10/2022 17:28:43.217","275701760","8280879104","0","100","1","34280","1787280","237464","3.4519800527845867499"
"11/10/2022 17:28:58.225","276267008","8263856128","0","100","1","34352","25920","237464","4.0593380893837132106"
"11/10/2022 17:29:13.222","276574208","8275402752","0","100","1","34304","1785000","237464","2.8486498642353974553"
"11/10/2022 17:29:28.216","275116032","8288169984","0","100","1","33856","1785000","237464","2.9538404418974040233"
"11/10/2022 17:29:43.225","275570688","8300244992","0","100","1","34296","25800","237464","3.7572035125402303279"
"11/10/2022 17:29:58.218","275632128","8313028608","0","100","1","33944","1769400","237464","2.6739808846156454258"
"11/10/2022 17:30:13.211","275206144","8284794880","0","100","1","34136","1769160","237464","5.0720655885097336579"
"11/10/2022 17:30:28.213","275456000","8296325120","0","100","1","34040","1769160","237464","1.968436543334839417"
"11/10/2022 17:30:43.216","274202624","8296148992","0","100","1","33992","1769160","237464","2.4262078241844453608"
"11/10/2022 17:30:58.227","274259968","8310022144","0","100","1","34024","1760160","237464","3.9742567117399874022"
"11/10/2022 17:31:13.220","274571264","8269737984","0","100","1","34144","25680","237464","4.3071817340202267488"
"11/10/2022 17:31:28.212","274911232","8277458944","0","100","1","34056","1765560","237464","2.7964566819123959363"
"11/10/2022 17:31:43.224","284168192","8387579904","0","100","1","34016","1721760","237464","4.7924506196937226576"
"11/10/2022 17:31:58.218","276426752","8355835904","0","100","1","34032","25560","237464","4.3092291344802529096"
"11/10/2022 17:32:13.203","276467712","8352129024","0","100","1","34016","1716600","237464","2.7714896274118605568"
